Issue key,Issue id,Project Manager,Assignee,Status,Priority,Team Leader,Worker,Product Impact,Epic Link,Marketing Need,Business Impact,Customer Interest
SLE-21819,494741,suntorytimed,#N/A,Planning,Should Have,kstreitova,none,#N/A,SLE-21167,Low,Medium,High
SLE-21815,494737,suntorytimed,psimons,Open,Could Have,kstreitova,none,Low,SLE-21170,Low,Medium,High
SLE-21811,494733,suntorytimed,psimons,Open,Could Have,kstreitova,none,Low,SLE-21171,Low,Medium,High
SLE-21808,494730,suntorytimed,psimons,Open,Could Have,kstreitova,none,Low,SLE-21172,Low,Medium,High
SLE-21805,494727,suntorytimed,psimons,Open,Could Have,kstreitova,none,Low,SLE-21173,Low,Medium,High
SLE-21802,494724,suntorytimed,psimons,Open,Could Have,kstreitova,none,Medium,SLE-21174,Low,Medium,High
SLE-21798,494720,suntorytimed,psimons,Open,Could Have,kstreitova,none,Low,SLE-21175,Low,Medium,High
SLE-21795,494717,suntorytimed,ohollmann,Open,Could Have,kstreitova,none,Low,SLE-21176,Low,Medium,High
SLE-21792,494714,suntorytimed,psimons,Open,Could Have,kstreitova,none,Low,SLE-21177,Low,Medium,High
SLE-21788,494710,suntorytimed,psimons,Open,Could Have,kstreitova,none,Low,SLE-21178,Low,Medium,High
SLE-21785,494707,suntorytimed,psimons,Open,Could Have,kstreitova,none,Low,SLE-21179,Low,Medium,High
SLE-21782,494704,suntorytimed,#N/A,Planning,Should Have,bruclik,none,#N/A,SLE-21233,Low,Medium,High
SLE-21780,494702,suntorytimed,#N/A,Rejected,Should Have,bruclik,none,#N/A,SLE-21236,Low,Medium,High
SLE-21775,494697,suntorytimed,pmonrealgonzalez,Done,Could Have,kstreitova,pmonrealgonzalez,Low,SLE-21251,Low,Medium,High
SLE-21771,494693,suntorytimed,pmonrealgonzalez,Done,Could Have,kstreitova,pmonrealgonzalez,Low,SLE-21252,Low,Medium,High
SLE-21768,494690,suntorytimed,pmonrealgonzalez,Done,Could Have,kstreitova,pmonrealgonzalez,Low,SLE-21253,Low,Medium,High
SLE-21765,494687,suntorytimed,pmonrealgonzalez,Done,Could Have,kstreitova,pmonrealgonzalez,Low,SLE-21254,Low,Medium,High
SLE-21762,494684,suntorytimed,pmonrealgonzalez,Done,Could Have,kstreitova,pmonrealgonzalez,Low,SLE-21255,Low,Medium,High
SLE-21758,494680,suntorytimed,#N/A,In Progress,Should Have,jeff_mahoney,none,#N/A,SLE-21256,Low,Medium,High
SLE-21755,494677,suntorytimed,gyribeiro,Open,Should Have,Neyleah,none,Medium,SLE-21259,Low,Medium,High
SLE-21752,494674,suntorytimed,simotek,Done,Should Have,kstreitova,none,Medium,SLE-21321,Low,Medium,High
SLE-21737,494530,rtsvetkov,#N/A,Planning,Should Have,#N/A,none,#N/A,SLE-21524,Low,Medium,High
SLE-21735,494528,msmeissn,#N/A,Planning,Must Have,#N/A,none,#N/A,SLE-21707,Low,Medium,High
SLE-21731,494524,rtsvetkov,scabrero,Done,Could Have,#N/A,scabrero,Low,SLE-21225,Low,Medium,High
SLE-21697,494453,Jeffreycheung,#N/A,Rejected,Should Have,hreinecke,NMoreyChaisemartin,#N/A,SLE-21696,Low,Medium,High
SLE-21658,494288,suntorytimed,rmax,Done,Should Have,sfent,none,#N/A,SLE-20673,Low,Medium,High
SLE-21635,494166,aginies,#N/A,Planning,Could Have,#N/A,none,#N/A,SLE-21560,Low,Medium,High
SLE-21594,493779,fcrozat,#N/A,In Progress,Must Have,sreeves1,brunoleon,#N/A,SLE-21196,Low,Medium,High
SLE-21592,493777,suntorytimed,#N/A,Done,Should Have,#N/A,none,#N/A,SLE-18247,#N/A,#N/A,#N/A
SLE-21585,493707,Jeffreycheung,Jeffreycheung,Done,Could Have,#N/A,none,#N/A,SLE-21551,Low,Medium,High
SLE-21570,493670,suntorytimed,pgajdos,Done,Could Have,kstreitova,pgajdos,Medium,SLE-20957,Low,Medium,High
SLE-21549,493516,aginies,#N/A,Planning,Could Have,#N/A,none,#N/A,SLE-19364,#N/A,#N/A,#N/A
SLE-21547,493514,aginies,#N/A,Blocked,Could Have,claudiofontana,none,#N/A,SLE-18739,#N/A,#N/A,#N/A
SLE-21544,493511,aginies,NMoreyChaisemartin,Done,Could Have,#N/A,none,#N/A,SLE-18754,#N/A,#N/A,#N/A
SLE-21540,493506,aginies,#N/A,In Progress,Could Have,claudiofontana,charlesa,#N/A,SLE-21537,Low,Medium,High
SLE-21538,493503,suntorytimed,#N/A,Planning,Should Have,#N/A,none,#N/A,SLE-20679,Low,Medium,High
SLE-21536,493500,gameboy974,#N/A,Planning,Could Have,lrupp,none,#N/A,SLE-20354,Low,Medium,High
SLE-21534,493498,lkocman,#N/A,Planning,Could Have,sreeves1,none,#N/A,SLE-20355,Low,Medium,High
SLE-21532,493496,gameboy974,gmoro,Planning,Could Have,bruclik,none,#N/A,SLE-20354,Low,Medium,High
SLE-21528,493490,lkocman,#N/A,Rejected,Could Have,kvanderveer,none,#N/A,SLE-19762,#N/A,#N/A,#N/A
SLE-21901,495279,fcrozat,#N/A,Planning,Could Have,#N/A,none,#N/A,SLE-20923,Low,Medium,High
SLE-21892,495250,Jeffreycheung,bpetkov,Done,Could Have,mhocko,none,Low,SLE-21874,Low,Medium,High
SLE-21888,495192,suntorytimed,pperego,In Progress,Should Have,smanolov,none,#N/A,SLE-21525,Low,Medium,High
SLE-21886,495182,fcrozat,#N/A,Planning,Could Have,#N/A,none,#N/A,SLE-21873,Low,Medium,High
SLE-21884,495179,fcrozat,#N/A,Planning,Wish to Have,yfjiang,qzhao,#N/A,SLE-20425,Low,Medium,High
SLE-21882,495177,fcrozat,#N/A,Planning,Wish to Have,yfjiang,qzhao,#N/A,SLE-20426,Low,Medium,High
SLE-21880,495175,fcrozat,#N/A,Planning,Should Have,sreeves1,alarrosa,#N/A,SLE-21332,Low,Medium,High
SLE-21878,495172,ihno,#N/A,Planning,Must Have,sfent,none,#N/A,SLE-18440,#N/A,#N/A,#N/A
SLE-21871,495144,Jeffreycheung,#N/A,Planning,Could Have,mhocko,#N/A,#N/A,SLE-21870,Low,Medium,High
SLE-21857,495075,fcrozat,#N/A,Planning,Should Have,sreeves1,jfkw,#N/A,SLE-21606,Low,Medium,High
SLE-21855,495065,fcrozat,fbui,Done,Must Have,BenniBrunner,fbui,#N/A,SLE-20309,Low,Medium,High
SLE-21629,493905,suntorytimed,adamm,In Progress,Could Have,bruclik,none,Low,SLE-21237,Low,Medium,High
SLE-21626,493902,LPechacek,mwilck,In Progress,Should Have,hreinecke,none,Low,SLE-20639,Low,Medium,High
SLE-21853,495053,horon,#N/A,Open,Must Have,ptesarik,michals,#N/A,SLE-21848,Low,Medium,High
SLE-20947,491511,#N/A,#N/A,Planning,Could Have,#N/A,none,#N/A,SLE-20530,Low,Medium,High
SLE-20945,491509,#N/A,#N/A,In Progress,Could Have,claudiofontana,dfaggioli,#N/A,SLE-17702,#N/A,#N/A,#N/A
SLE-20943,491507,#N/A,#N/A,Rejected,Could Have,claudiofontana,#N/A,#N/A,SLE-17511,#N/A,#N/A,#N/A
SLE-20942,491506,#N/A,hreinecke,Planning,Should Have,hreinecke,#N/A,#N/A,SLE-16770,#N/A,#N/A,#N/A
SLE-20940,491504,#N/A,#N/A,Planning,Could Have,claudiofontana,#N/A,#N/A,SLE-19038,#N/A,#N/A,#N/A
SLE-20920,491349,#N/A,joeyli,Blocked,Could Have,joeyli,none,#N/A,SLE-20098,Low,Medium,High
SLE-20918,491347,#N/A,joeyli,Blocked,Should Have,joeyli,none,#N/A,SLE-20096,Low,Medium,High
SLE-20916,491338,#N/A,#N/A,Rejected,Could Have,claudiofontana,none,#N/A,SLE-18954,#N/A,#N/A,#N/A
SLE-20914,491336,#N/A,#N/A,In Progress,Could Have,claudiofontana,none,#N/A,SLE-19295,#N/A,#N/A,#N/A
SLE-20883,491280,#N/A,#N/A,Rejected,Should Have,mhocko,none,Medium,SLE-19428,#N/A,#N/A,#N/A
SLE-20874,491269,#N/A,#N/A,In Progress,Should Have,claudiofontana,kallan,#N/A,SLE-20063,Low,Medium,High
SLE-20866,491260,#N/A,#N/A,Planning,Must Have,#N/A,none,#N/A,SLE-18768,#N/A,#N/A,#N/A
SLE-20864,491239,#N/A,pmonrealgonzalez,In Progress,Must Have,kstreitova,pmonrealgonzalez,Medium,SLE-20733,Low,Medium,High
SLE-20862,491237,#N/A,pmonrealgonzalez,Done,Must Have,kstreitova,pmonrealgonzalez,Medium,SLE-20734,Low,Medium,High
SLE-20856,491230,#N/A,#N/A,Open,Must Have,claudiofontana,charlesa,#N/A,SLE-20855,Low,Medium,High
SLE-20821,491176,#N/A,#N/A,Planning,Must Have,kukuk,none,#N/A,SLE-18265,#N/A,#N/A,#N/A
SLE-20805,491053,#N/A,#N/A,Open,Should Have,Neyleah,none,Low,SLE-20587,Low,Medium,High
SLE-20796,491038,#N/A,mbrugger,Done,Must Have,ptesarik,mbrugger,#N/A,SLE-17875,#N/A,#N/A,#N/A
SLE-20790,491032,#N/A,iivanov,Done,Could Have,ptesarik,iivanov,#N/A,SLE-19045,#N/A,#N/A,#N/A
